label	addr	ported_namematch	subsystem
SFREE_L	$0afb28	False	other
SR8_ACHASE_ALVAR1	$1fd876	False	audio
SR8_ACHASE_ALVAR2	$1fd8a2	False	audio
SR8_ACHASE_ALVAR3	$1fd8d5	True	ported
SR8_ACHASE_ALVAR4	$1fd90f	False	audio
SR8_ACHASE_ALVAR5	$1fd950	False	audio
SR8_ACHASE_ALVAR6	$1fd998	False	audio
SR8_ACHASE_ALVAR7	$1fd9e7	False	audio
ADD2POSOBJYFOBJX_L	$1fd490	False	other
ADD_OBJVECS_L	$1fd009	False	math_helper
ADDVECS0_L	$1fc7bb	False	math_helper
ADDVECS2_L	$1fc7b1	True	ported
ADDVECS4_L	$1fc7a1	False	math_helper
ADDALVECS_L	$1fc7d3	True	ported
ADDVECS_L	$1fc7b9	True	ported
ADDRND2POSXYZ2_SROU	$06b299	True	ported
ADDRND2POSY_SROU	$06b260	True	ported
ADDYROT2Z_SROU	$088131	True	ported
FACEFIRE	$04d8f2	True	ported
FACEPLAYER_STRAT	$218b5b	True	ported
DEADFLINGBOSS_ISTRAT	$09b26d	True	ported
AVAIL_L	$0af941	False	other
FADEWHITE2NORM_L	$02fa55	True	ported
FADEWHITE_L	$02f880	True	ported
FADETOSEADO	$03e339	True	ported
FADELINES	$03c092	False	other
FADETABLE	$03ca69	False	other
FADERED_L	$02f305	False	other
FADEWHITE	$02f884	True	ported
FADELINES2	$03c092	False	other
FADECHARSIN	$03c094	False	math_helper
FADEWHITE2NORM	$02fa59	True	ported
FADECOL0	$03c06d	False	other
FADETAB0	$03c829	False	other
FADEHALF2NORM	$02ec53	False	other
FADEPALTO_L	$02f23d	True	ported
FADETOGROUNDDO	$03e353	True	ported
CHASE_INIT	$04d8a2	True	ported
FADETONORM_L	$218b96	False	other
CHANGEVIEWMODE_L	$21ba93	True	ported
BLACKHOLEEXIT_ISTRAT	$0a928f	False	enemy_boss_strat
BLACKHOLE_ISTRAT	$0addfe	True	ported
MYSHIP_L	$00bbd3	True	ported
MYSHIP_L	$11f0e6	True	ported
CALCTOTALSCORE	$02e498	True	ported
CALCMETERS	$02d8f6	True	ported
CALCBG2VOFFSETS	$02d746	False	render_dma
CALCTOTALSCORE_L	$02e494	True	ported
CALCBG2VOFFSETS_L	$02d742	False	render_dma
CALCDXDY	$03bde9	False	math_helper
CALCSTAGEPERC	$02e7ad	True	ported
CALCBGSCROLL_L	$21bb5a	True	ported
CALCTEAMDAMAGE_L	$21bb24	True	ported
BARRIER_ISTRAT	$09cb7b	True	ported
CLASTEROID_STRAT	$0af915	True	ported
CLASTEROID_ISTRAT	$0af8ee	True	ported
BASE_1_ISTRAT	$2099d1	True	ported
BASE0_STRAT	$0a8857	False	enemy_boss_strat
BASE1_STRAT	$0a88cd	True	ported
BASE0_ISTRAT	$0a8817	False	enemy_boss_strat
BASE1_ISTRAT	$0a88a8	True	ported
BASE0B_STRAT	$0a8881	False	enemy_boss_strat
MCALCPERC	$01b6b2	True	ported
MCALC_CIRCLE	$01aad7	False	math_helper
CAM2HIDE_INIT	$08b9a5	False	enemy_boss_strat
CAM2HIDE_STRAT	$08b9c3	False	enemy_boss_strat
CAMELEON2_STRAT	$08b959	False	enemy_boss_strat
CAM2DASH_STRAT	$08ba1a	False	enemy_boss_strat
CAMELEON2_ISTRAT	$08b937	False	enemy_boss_strat
CAMELEON2_CONT	$08b9a0	False	enemy_boss_strat
CAM2DASH_INIT	$08ba0d	False	enemy_boss_strat
CAMELEON_STRAT	$0995c0	True	ported
CAMELEON_ISTRAT	$09959d	True	ported
HEADFIRE_ISTRAT	$09f7f0	False	enemy_boss_strat
BEE1A_INIT	$08e52e	False	enemy_boss_strat
BEE1_ISTRAT	$08e332	False	enemy_boss_strat
BEE1B_INIT	$08e5ca	False	enemy_boss_strat
BEE1_STRAT	$08e371	False	enemy_boss_strat
BEE1A_STRAT	$08e541	False	enemy_boss_strat
BEE1B_STRAT	$08e5d7	False	enemy_boss_strat
DMABG2VOFFSETS	$02d7d8	False	render_dma
DMA256SCREEN	$03bcab	False	render_dma
DMAHPOS	$02d8af	False	render_dma
DMABG2VOFFSETS_L	$02d7ce	False	render_dma
DMA256SCREEN_FAST	$03bd99	False	render_dma
DAMENEMYSOUND_L	$249116	True	ported
DMA_SPRITES_L	$03dc66	False	render_dma
DMAHPOS_L	$02d8ab	False	render_dma
DMAPEPPERSCREEN	$03bc81	False	render_dma
DAMYSCR_ISTRAT	$09f8fd	True	ported
MADBIKER_ISTRAT	$09c15c	True	ported
MADTRUCKER_ISTRAT	$09c55e	True	ported
BAZOOKA_STRAT	$0abfb5	True	ported
BAZOOKA1R_ISTRAT	$0abf2f	False	enemy_boss_strat
BAZOOKAL_ISTRAT	$0abf45	True	ported
BAZFALL_STRAT	$0ac208	False	enemy_boss_strat
BAZEXP_ISTRAT	$0ac1b9	False	enemy_boss_strat
BAZOOKAR_ISTRAT	$0abf4b	True	ported
BAZFALL_ISTRAT	$0ac1f1	False	enemy_boss_strat
BAZOOKA1L_ISTRAT	$0abf29	False	enemy_boss_strat
ARCTAN16_L	$02f854	False	other
CRABB_STRAT	$08c680	False	enemy_boss_strat
CRABT_ISTRAT	$08c4f8	False	enemy_boss_strat
CRABL_STRAT	$08c6c7	False	enemy_boss_strat
CRABB_INIT	$08c66f	False	other
CRABR_STRAT	$08c747	False	enemy_boss_strat
CRABL_ISTRAT	$08c4ca	False	enemy_boss_strat
CRABT_STRAT	$08c6fe	False	enemy_boss_strat
CRABL_INIT	$08c6b6	False	other
CRABR_INIT	$08c736	False	other
CRABT_INIT	$08c6ed	False	other
CRAB_CONT	$08c562	False	other
CRAB_INIT	$08c551	False	other
CRABB_ISTRAT	$08c49c	False	enemy_boss_strat
CRABR_ISTRAT	$08c526	False	enemy_boss_strat
CARRIER_STRAT	$0a864c	True	ported
CARRIER_ISTRAT	$0a862d	True	ported
CARRIERB_ISTRAT	$0a868f	True	ported
CARRIERC_ISTRAT	$0a875b	True	ported
CRANE0_STRAT	$0ab916	False	enemy_boss_strat
CRANE0COL_ISTRAT	$0aba15	False	enemy_boss_strat
CARRIERB_STRAT	$0a86a4	True	ported
CARRIERC_STRAT	$0a8768	True	ported
CRANE0_ISTRAT	$0ab885	False	enemy_boss_strat
CASTBIT_ISTRAT.HIT	$09d305	False	enemy_boss_strat
CASTANET_ISTRAT	$09cc5c	True	ported
CASTBIT_ISTRAT	$09d27d	True	ported
DEC_L	$03ab5e	True	ported
DEC_BG3_L	$03ab40	False	other
DEC_CHR_L	$03ab0b	False	other
DEC_BG_L	$03ab22	False	other
ELASER_STRAT	$21a02e	True	ported
ELASER_ISTRAT	$219fff	True	ported
ELASER2DIE_STRAT	$21a0bb	False	enemy_boss_strat
ELASER2DIE_ISTRAT	$21a068	False	enemy_boss_strat
LEAF_ISTRAT	$09a39f	True	ported
PDAMYSCR.SCR_ROT	$04c52a	True	ported
WORMGO_INIT	$08cc8e	True	ported
WORM2_ISTRAT	$08ccd3	True	ported
WORMEXP_ISTRAT	$08cc11	True	ported
WORMGO_STRAT	$08cca8	True	ported
WORMHEADEXP_ISTRAT	$08cc24	True	ported
WORM2_STRAT	$08cd11	True	ported
WORM_ISTRAT	$08cb0a	True	ported
WORM_INIT	$08cb31	True	ported
WORM_STRAT	$08cb4d	True	ported
WORMSPLIT_INIT	$08cc30	True	ported
WORMSPLIT_STRAT	$08cc7b	True	ported
WORMHEAD_ISTRAT	$08cac9	True	ported
FLASHTURQ_L	$02f95b	False	other
FLASHTURQ2_L	$02f98b	False	other
DRAWLINESBITBYBIT	$03c0df	False	render_dma
DRAWSOME3D	$03dbb8	False	render_dma
DRAWROUTENAME	$03bb9d	True	ported
DRAWSELECTEDPLANET	$03be74	False	render_dma
DRAWPLANETLINES_L	$03c15c	True	ported
DRAWPLANETSPRITES	$03bf99	True	ported
DRAWPLANETINCENTRE	$03bf3a	False	render_dma
FLASHRED_L	$02f9bb	False	other
FLASH_STRAT	$21b717	False	enemy_boss_strat
FLASH_ISTRAT	$21b6e8	True	ported
FLATMISS_ISTRAT	$219c6a	False	enemy_boss_strat
FLATMISS_STRAT	$219c97	False	enemy_boss_strat
RADER0_STRAT	$08b1bb	True	ported
RADER0_ISTRAT	$08b196	True	ported
FLASHPLAYER_ISTRAT	$08e263	True	ported
RADER1_ISTRAT	$08b18c	True	ported
FLASHPLAYER_STRAT	$08e285	True	ported
FALLOVER_STRAT	$099001	True	ported
FALLINGTRUCK_ISTRAT	$09d489	True	ported
DRAGONFLY_STRAT	$0acc81	False	enemy_boss_strat
DRAGONFLY_ISTRAT	$0acc4c	False	enemy_boss_strat
ZACOINTRO_ISTRAT	$078ec1	True	ported
ZACO2INTRO_ISTRAT	$078f8d	True	ported
ZACOINTRO_STRAT	$078f08	True	ported
ZACO2INTRO_STRAT	$078fbd	True	ported
ZACO2LOOP_STRAT	$08b0f3	True	ported
ZACOS2_INIT	$08ad17	False	enemy_boss_strat
ZACOS3_INIT	$08ad70	True	ported
ZACOS4_INIT	$08ade8	True	ported
ZACO2DASH_STRAT	$08b159	True	ported
ZACO1_CONT	$08b31f	True	ported
ZACO2_CONT	$08b047	True	ported
ZACO2_INIT	$08af93	True	ported
ZACO1A_INIT	$08b36a	True	ported
ZACO1B_INIT	$08b399	True	ported
ZACO2LOOP_INIT	$08b08c	True	ported
ZACO1L_ISTRAT	$08b1c3	True	ported
ZACO2DASH_INIT	$08b148	True	ported
ZACO2_ISTRAT	$08af4f	True	ported
ZACOS2_STRAT	$08ad51	False	enemy_boss_strat
ZACOS3_STRAT	$08ad84	True	ported
ZACOS_ISTRAT	$08ac83	True	ported
ZACOS4_STRAT	$08adf5	True	ported
ZACO1_STRAT	$08b24f	True	ported
ZACO1R_ISTRAT	$08b1d3	True	ported
ZACO2_STRAT	$08afa4	True	ported
ZACOS_CONT	$08acfc	False	enemy_boss_strat
ZACOS_STRAT	$08acc6	True	ported
ZACO1A_STRAT	$08b37d	True	ported
ZACO1B_STRAT	$08b3a6	True	ported
ZACO3CIRCLE_STRAT	$0a81dd	True	ported
ZACO7_STRAT	$0abe3f	False	enemy_boss_strat
ZACO3GO_INIT	$0a8371	True	ported
ZACO3DIE_STRAT	$0a8315	True	ported
ZACO34_ISTRAT	$0a805d	True	ported
